block,total_hr,ID_NCBA_BLOCK,ID_BLOCK_CODE,PRIORITY_BLOCK
ABBOTTSBURG-SE,0.0,ABBOTTSBURG-SE,34078E6SE,
ABBOTTSBURG-SW,0.0,ABBOTTSBURG-SW,34078E6SW,0
ACME-CE,2.4,ACME-CE,34078C2CE,0
ACME-CW,0.1,ACME-CW,34078C2CW,0
ACME-NW,0.0,ACME-NW,34078C2NW,0
ACME-SE,0.5,ACME-SE,34078C2SE,1
ADVANCE-CE,24.9,ADVANCE-CE,35080H4CE,0
ADVANCE-NE,183.2,ADVANCE-NE,35080H4NE,0
ADVANCE-NW,7.6,ADVANCE-NW,35080H4NW,0
ADVANCE-SE,0.1,ADVANCE-SE,35080H4SE,1
ADVANCE-SW,0.0,ADVANCE-SW,35080H4SW,0
AHOSKIE-NE,0.0,AHOSKIE-NE,36076C8NE,0
ALARKA-CW,0.8,ALARKA-CW,35083C4CW,0
ALARKA-NE,0.0,ALARKA-NE,35083C4NE,0
ALARKA-NW,2.0,ALARKA-NW,35083C4NW,0
ALARKA-SE,28.3,ALARKA-SE,35083C4SE,1
ALARKA-SW,7.3,ALARKA-SW,35083C4SW,0
ALBEMARLE-CW,1.9,ALBEMARLE-CW,35080C2CW,0
ALBEMARLE-NE,20.5,ALBEMARLE-NE,35080C2NE,0
ALBEMARLE-NW,25.6,ALBEMARLE-NW,35080C2NW,0
ALBEMARLE-SE,0.1,ALBEMARLE-SE,35080C2SE,1
ALBEMARLE-SW,0.1,ALBEMARLE-SW,35080C2SW,0
ALBERTSON-CW,0.0,ALBERTSON-CW,35077A7CW,0
ALBERTSON-NW,3.0,ALBERTSON-NW,35077A7NW,0
ALBERTSON-SE,0.0,ALBERTSON-SE,35077A7SE,
ALBERTSON-SW,0.4,ALBERTSON-SW,35077A7SW,0
ALTON-SE,0.0,ALTON-SE,36079E1SE,1
AMMON-CW,0.1,AMMON-CW,34078G5CW,0
AMMON-NE,0.1,AMMON-NE,34078G5NE,
AMMON-SE,0.2,AMMON-SE,34078G5SE,1
AMMON-SW,0.3,AMMON-SW,34078G5SW,0
ANDERSON_CREEK-CW,7.5,ANDERSON_CREEK-CW,35078C8CW,0
ANDERSON_CREEK-NE,29.8,ANDERSON_CREEK-NE,35078C8NE,0
ANDERSON_CREEK-NW,0.0,ANDERSON_CREEK-NW,35078C8NW,0
ANDERSON_CREEK-SE,0.2,ANDERSON_CREEK-SE,35078C8SE,1
ANDERSON_CREEK-SW,0.3,ANDERSON_CREEK-SW,35078C8SW,0
ANDERSON-NE,2.6,ANDERSON-NE,36079C3NE,0
ANDERSON-NW,0.8,ANDERSON-NW,36079C3NW,0
ANDERSON-SE,1.5,ANDERSON-SE,36079C3SE,1
ANDERSON-SW,0.0,ANDERSON-SW,36079C3SW,0
ANDREWS-CE,0.6,ANDREWS-CE,35083B7CE,0
ANDREWS-CW,6.6,ANDREWS-CW,35083B7CW,0
ANDREWS-NW,1.1,ANDREWS-NW,35083B7NW,0
ANDREWS-SW,0.0,ANDREWS-SW,35083B7SW,0
ANGIER-CE,1.8,ANGIER-CE,35078E6CE,0
ANGIER-CW,38.9,ANGIER-CW,35078E6CW,0
ANGIER-NE,1.4,ANGIER-NE,35078E6NE,0
ANGIER-NW,0.0,ANGIER-NW,35078E6NW,0
ANGIER-SE,0.0,ANGIER-SE,35078E6SE,1
ANGIER-SW,29.3,ANGIER-SW,35078E6SW,0
ANSONVILLE-CE,4.5,ANSONVILLE-CE,35080A1CE,0
ANSONVILLE-CW,223.2,ANSONVILLE-CW,35080A1CW,0
ANSONVILLE-NE,21.8,ANSONVILLE-NE,35080A1NE,0
ANSONVILLE-NW,0.0,ANSONVILLE-NW,35080A1NW,0
ANSONVILLE-SE,0.4,ANSONVILLE-SE,35080A1SE,1
ANSONVILLE-SW,0.2,ANSONVILLE-SW,35080A1SW,0
APEX-CE,31.8,APEX-CE,35078F7CE,0
APEX-CW,0.7,APEX-CW,35078F7CW,0
APEX-NE,301.6,APEX-NE,35078F7NE,0
